question,answer,source_utterance,source_context,source_label
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  SHELDON: And I cannot believe people pay for horoscopes, but on a more serious note, it's 8:13 and we're still not playing Halo.
  LEONARD: Fine. We'll just play one-on-one until he gets back.
  SHELDON: One-on-one? We don't play one-on-one.
  SHELDON: We play teams, not one-on-one.
  SHELDON: One-on-one.
  LEONARD: The only way we can play teams at this point is if we cut Raj in half.

Target statement: ""Sure, cut the foreigner in half. There's a billion more where he came from.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"Sure, cut the foreigner in half. There's a billion more where he came from.","[""And I cannot believe people pay for horoscopes, but on a more serious note, it's 8:13 and we're still not playing Halo."", ""Fine. We'll just play one-on-one until he gets back."", ""One-on-one? We don't play one-on-one."", ""We play teams, not one-on-one."", ""One-on-one."", ""The only way we can play teams at this point is if we cut Raj in half.""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  LEONARD: Do you really need the Honorary Justice League of American membership card?
  SHELDON: It's been in every wallet I've owned since I was five.
  LEONARD: Why?
  SHELDON: It says, ""Keep this on your person at all times.""
  SHELDON: It's right here under Batman's signature.
  RAJ: and this is Leonard and Sheldon's apartment.
  HOWARD: Guess whose parents just got broadband.

Target statement: ""Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,"Leonard, may I present, live from New Delhi, Dr. and Mrs. V. M. Koothrappali.","[""Do you really need the Honorary Justice League of American membership card?"", ""It's been in every wallet I've owned since I was five."", ""Why?"", ""It says, \""Keep this on your person at all times.\"""", ""It's right here under Batman's signature."", ""and this is Leonard and Sheldon's apartment."", ""Guess whose parents just got broadband.""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  SHELDON: This is Dr. Sheldon Cooper.
  SHELDON: Yeah, I need to cancel my membership to the planetarium.

Target statement: ""Well, I'm sorry, too, but there's just no room for you in my wallet.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"Well, I'm sorry, too, but there's just no room for you in my wallet.","[""This is Dr. Sheldon Cooper."", ""Yeah, I need to cancel my membership to the planetarium.""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  SHELDON: but it was between you and the Museum of Natural History, and frankly, you don't have dinosaurs.
  SHELDON: I'll miss you, too. Bye-bye.
  SHELDON: Okay, I know you're texting about me and I'd really like you to stop.
  RAJ: Oh, dear, I am rightly and truly screwed.
  LEONARD: Hey, I thought you were finding new friends.

Target statement: ""I've got some feelers out. In the meantime, listen to this.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,"I've got some feelers out. In the meantime, listen to this.","[""but it was between you and the Museum of Natural History, and frankly, you don't have dinosaurs."", ""I'll miss you, too. Bye-bye."", ""Okay, I know you're texting about me and I'd really like you to stop."", ""Oh, dear, I am rightly and truly screwed."", ""Hey, I thought you were finding new friends.""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  SHELDON: When I was a little boy and got sick, which was most of the time, my mother would read it to me.
  SHELDON: It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different.
  SHELDON: For some reason, I related to it quite strongly.
  PENNY: I know the reason.
  LEONARD: We all know the reason.
  LEONARD: Sheldon, what are you getting at?

Target statement: ""That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?,"[""When I was a little boy and got sick, which was most of the time, my mother would read it to me."", ""It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different."", ""For some reason, I related to it quite strongly."", ""I know the reason."", ""We all know the reason."", ""Sheldon, what are you getting at?""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  HOWARD: I'm with you. I just have to make sure if I'm a synthetic human I'd still be Jewish.
  HOWARD: I promised my mother.
  RAJ: I suppose you could have your android penis circumcised.
  RAJ: But that's something your rabbi would have to discuss with the manufacturer.

Target statement: ""Not to mention you'd have to power down on saturdays.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,Not to mention you'd have to power down on saturdays.,"[""I'm with you. I just have to make sure if I'm a synthetic human I'd still be Jewish."", ""I promised my mother."", ""I suppose you could have your android penis circumcised."", ""But that's something your rabbi would have to discuss with the manufacturer.""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  HOWARD: I promised my mother.
  RAJ: I suppose you could have your android penis circumcised.
  RAJ: But that's something your rabbi would have to discuss with the manufacturer.
  SHELDON: Not to mention you'd have to power down on saturdays.
  LEONARD: Sheldon, why is this letter in the trash?

Target statement: ""Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"Well, there's always the possibility that a trash can spontaneously formed around the letter but Occam's rasor would suggest that someone threw it out.","[""I promised my mother."", ""I suppose you could have your android penis circumcised."", ""But that's something your rabbi would have to discuss with the manufacturer."", ""Not to mention you'd have to power down on saturdays."", ""Sheldon, why is this letter in the trash?""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  LEONARD: Because it's not a costume, it's a flight suit.
  PENNY: Ok, alright, moving on.
  PENNY: Oh, wow. A paisley shirt.
  LEONARD: It goes with my corduroy suit.
  PENNY: If you mean it should end up in the same place, then I agree.
  PENNY: Is this your only tie?

Target statement: ""Technically, yes. But, if you'll notice... It's reversible!""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,"Technically, yes. But, if you'll notice... It's reversible!","[""Because it's not a costume, it's a flight suit."", ""Ok, alright, moving on."", ""Oh, wow. A paisley shirt."", ""It goes with my corduroy suit."", ""If you mean it should end up in the same place, then I agree."", ""Is this your only tie?""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  PENNY: Hey Sheldon.
  SHELDON: Hello Penny.
  PENNY: Get anything good?

Target statement: ""Just the latest copy of Applied Particle Physics quarterly.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,Just the latest copy of Applied Particle Physics quarterly.,"[""Hey Sheldon."", ""Hello Penny."", ""Get anything good?""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  PENNY: Hey Sheldon.
  SHELDON: Hello Penny.
  PENNY: Get anything good?
  SHELDON: Just the latest copy of Applied Particle Physics quarterly.

Target statement: ""Oh, you know, that is so weird that yours came and mine didn't.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"Oh, you know, that is so weird that yours came and mine didn't.","[""Hey Sheldon."", ""Hello Penny."", ""Get anything good?"", ""Just the latest copy of Applied Particle Physics quarterly.""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  SHELDON: I want grilled cheese.

Target statement: ""Do you think Penny will come here and take care of us?""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,Do you think Penny will come here and take care of us?,"[""I want grilled cheese.""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  LEONARD: Take that!
  LEONARD: What's the matter?
  HOWARD: This granola bar has peanuts in it!
  LEONARD: Oh, my God. Why did you eat it?
  HOWARD: I don't know. It was just there!
  LEONARD: If I had a gun there, would you have shot yourself?
  HOWARD: Don't yell at me! I've got to go to the emergency room!

Target statement: ""- Now?! - No, after my tongue has swollen to the size of a brisket!""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"- Now?! - No, after my tongue has swollen to the size of a brisket!","[""Take that!"", ""What's the matter?"", ""This granola bar has peanuts in it!"", ""Oh, my God. Why did you eat it?"", ""I don't know. It was just there!"", ""If I had a gun there, would you have shot yourself?"", ""Don't yell at me! I've got to go to the emergency room!""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  SHELDON: Or maybe she just doesn't want to talk.
  RAJ: Look, I found an iPod!
  HOWARD: It's smashed beyond repair. What are you gonna do with it?

Target statement: ""What else? Sell it on eBay as ""slightly used.""""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,"What else? Sell it on eBay as ""slightly used.""","[""Or maybe she just doesn't want to talk."", ""Look, I found an iPod!"", ""It's smashed beyond repair. What are you gonna do with it?""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  HOWARD: It's smashed beyond repair. What are you gonna do with it?
  RAJ: What else? Sell it on eBay as ""slightly used.""
  LEONARD: It was Penny's boyfriend's, they broke up.
  HOWARD: Apparently, he posted intimate details of their physical relationship on his blog which I cannot find anywhere.
  LEONARD: I'm gonna go back and try talking to her again.

Target statement: ""Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"Good idea, sit with her. Hold her, comfort her. And if the moment feels right, see if you can cop a feel.","[""It's smashed beyond repair. What are you gonna do with it?"", ""What else? Sell it on eBay as \""slightly used.\"""", ""It was Penny's boyfriend's, they broke up."", ""Apparently, he posted intimate details of their physical relationship on his blog which I cannot find anywhere."", ""I'm gonna go back and try talking to her again.""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  HOWARD: Are you saying that you've been holding back?
  LEONARD: Of course. Out of respect.
  HOWARD: So, how do you explain the ten years before Penny?
  RAJ: Who were you respecting then?
  LEONARD: Well, I've dated plenty of women.
  LEONARD: There was Joyce Kim, Leslie Winkle

Target statement: ""Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""","[""Are you saying that you've been holding back?"", ""Of course. Out of respect."", ""So, how do you explain the ten years before Penny?"", ""Who were you respecting then?"", ""Well, I've dated plenty of women."", ""There was Joyce Kim, Leslie Winkle""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  SHELDON: Pastries such as bear claws?
  PENNY: Yeah, sure.
  SHELDON: I don't like bear claws.
  PERSON: Hey, Penny.
  PERSON: Dumbass.
  SHELDON: Leslie Winkle.
  SHELDON: Of all the overrated physicists in all the labs in all the world, why does it have to be Leslie Winkle?
  PENNY: They have a lot in common. I mean, they're both scientists.

Target statement: ""Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.","[""Pastries such as bear claws?"", ""Yeah, sure."", ""I don't like bear claws."", ""Hey, Penny."", ""Dumbass."", ""Leslie Winkle."", ""Of all the overrated physicists in all the labs in all the world, why does it have to be Leslie Winkle?"", ""They have a lot in common. I mean, they're both scientists.""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  LEONARD: I'm sorry about all of Sheldon's interruptions.
He can be a bit of an eccentric.
  PERSON: If by ""eccentric"" you mean passive-aggressive East Texas blowhole, I agree.

Target statement: ""I think tonight was a very good start.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,I think tonight was a very good start.,"[""I'm sorry about all of Sheldon's interruptions.\nHe can be a bit of an eccentric."", ""If by \""eccentric\"" you mean passive-aggressive East Texas blowhole, I agree.""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  PERSON1: That's enough.
  PERSON1: Call me.
  LEONARD: Right.
  PENNY: Okay, good night.
  PERSON2: What?
  PENNY: Had a great time. Ciao.

Target statement: ""I'm sorry, I am not going back to the Renaissance fair.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,"I'm sorry, I am not going back to the Renaissance fair.","[""That's enough."", ""Call me."", ""Right."", ""Okay, good night."", ""What?"", ""Had a great time. Ciao.""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  SHELDON: Leonard, this is Tom.
  LEONARD: Hi, Tom. Sheldon?
  LEONARD: Didn't I explain to you about your little mistake in the cafeteria?

Target statement: ""You were very clear. As was everyone else at the table.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,You were very clear. As was everyone else at the table.,"[""Leonard, this is Tom."", ""Hi, Tom. Sheldon?"", ""Didn't I explain to you about your little mistake in the cafeteria?""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  RAJ: They're going to digitally add a supernova.
They say it's the perfect metaphor for my incandescent talent.
  SHELDON: Right, a ball of hot, flaming gas that collapses upon itself.
  RAJ: Excuse me. Oh, it's my assistant, Trevor.
  RAJ: Go for Koothrappali.

Target statement: ""They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"They gave him an assistant? If I want a new pen, I have to go to the bank with wire cutters.","[""They're going to digitally add a supernova.\nThey say it's the perfect metaphor for my incandescent talent."", ""Right, a ball of hot, flaming gas that collapses upon itself."", ""Excuse me. Oh, it's my assistant, Trevor."", ""Go for Koothrappali.""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  PERSON: Excuse me, Dr. Cooper. I'm Kathy O'Brien.
  PERSON: I just finished reading your paper reconciling the black hole information paradox with your theory of string-network condensates, and it just took my breath away.

Target statement: ""Maybe when I publish it, I'll include an inhaler.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"Maybe when I publish it, I'll include an inhaler.","[""Excuse me, Dr. Cooper. I'm Kathy O'Brien."", ""I just finished reading your paper reconciling the black hole information paradox with your theory of string-network condensates, and it just took my breath away.""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  PENNY: Hey, guys, I need to use your TV.
  SHELDON: What's wrong with your TV?

Target statement: ""I don't know. It just died. I'm getting a bunch of static.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,I don't know. It just died. I'm getting a bunch of static.,"[""Hey, guys, I need to use your TV."", ""What's wrong with your TV?""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  LEONARD: Did I miss anything? Did they kick Giselle off?
  RAJ: Not yet, but her underwater photo shoot was an embarrassment.

Target statement: ""Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,"Sadly, Mrs. Giselle Wolowitz is sensitive to chlorine. Lucky for her I like my fashion models pruny and bug-eyed.","[""Did I miss anything? Did they kick Giselle off?"", ""Not yet, but her underwater photo shoot was an embarrassment.""]",1
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  SHELDON: Who touched my…
  HOWARD: Penny! Penny did it.
  SHELDON: Why would you do that?
  PENNY: I don't know. I was hungry?
What's the big deal?

Target statement: ""The big deal is that nobody touches food on my plate.""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",non_sarcastic,The big deal is that nobody touches food on my plate.,"[""Who touched my…"", ""Penny! Penny did it."", ""Why would you do that?"", ""I don't know. I was hungry?\nWhat's the big deal?""]",0
"You will be given dialogue from a TV show or movie. Analyze the target statement and determine if it is sarcastic, considering the conversation context, rhetorical devices, and emotional contrast.

Conversation context:
  SHELDON: Will you at least stipulate that Star Trek IV: The Voyage Home is inarguably the best?
  RAJ: I have three words for you: Wrath of Khan.
  HOWARD: Thank God, you're here.
  LEONARD: What's the emergency?
  HOWARD: I got the Mars Rover stuck in a ditch.
  SHELDON: Where?

Target statement: ""On a dusty highway just outside Bakersfield. Where do you think? On Mars!""

Is this statement sarcastic? Respond with your reasoning, then provide your answer as either 'sarcastic' or 'non_sarcastic'.",sarcastic,On a dusty highway just outside Bakersfield. Where do you think? On Mars!,"[""Will you at least stipulate that Star Trek IV: The Voyage Home is inarguably the best?"", ""I have three words for you: Wrath of Khan."", ""Thank God, you're here."", ""What's the emergency?"", ""I got the Mars Rover stuck in a ditch."", ""Where?""]",1
